stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
9007107,,Ruppiner Str. (Berlin),,52.5390880,13.3989830,,,0,
9007108,,S Nordbahnhof/Gartenstr. (Berlin),,52.5333640,13.3874970,,,0,
9007110,,U Bernauer Str. (Berlin),,52.5379970,13.3962360,,,0,
9007111,,Lortzingstr. (Berlin),,52.5443070,13.3991790,,,0,
9007112,,Gartenplatz (Berlin),,52.5384250,13.3842820,,,0,
9007113,,Theodor-Heuss-Weg (Berlin),,52.5349560,13.3858670,,,0,
9007114,,Gartenstr./Feldstr. (Berlin),,52.5365250,13.3838240,,,0,
9007150,,Gedenkstätte Berliner Mauer (Berlin),,52.5357010,13.3904890,,,0,
9007152,,Jülicher Str. (Berlin),,52.5500880,13.3906200,,,0,
9007154,,Demminer Str. (Berlin),,52.5426150,13.3994340,,,0,
9007155,,Gleimstr. (Berlin),,52.5460460,13.3980840,,,0,
9007156,,Swinemünder Str. (Berlin),,52.5459570,13.3949270,,,0,
9007157,,Rügener Str. (Berlin),,52.5450170,13.3907990,,,0,
9007159,,Humboldtsteg (Berlin),,52.5473940,13.3819990,,,0,
9007160,,Grüntaler Str. (Berlin),,52.5553620,13.3908010,,,0,
9007181,,Usedomer Str. (Berlin),,52.5399190,13.3894730,,,0,
9008101,,S Humboldthain (Berlin),,52.5447450,13.3787310,,,0,
9008102,,U Reinickendorfer Str. (Berlin),,52.5398990,13.3703990,,,0,
9008103,,Nettelbeckplatz/S Wedding (Berlin),,52.5446740,13.3701940,,,0,
9008104,,U Reinickendorfer Str./Fennstr. (Berlin),,52.5415280,13.3694180,,,0,
9008106,,Brunnenplatz (Berlin),,52.5501460,13.3780010,,,0,
9008151,,Gerichtstr./Hochstr. (Berlin),,52.5432610,13.3757220,,,0,
9008153,,Wiesenstr. (Berlin),,52.5475960,13.3738970,,,0,
9008158,,Schererstr. (Berlin),,52.5482170,13.3691690,,,0,
9009101,,U Amrumer Str. (Berlin),,52.5422060,13.3495390,,,0,
9009102,,U Leopoldplatz (Berlin),,52.5464970,13.3594010,,,0,
9009103,,U Seestr. (Berlin),,52.5504730,13.3519750,,,0,
9009104,,S+U Wedding (Berlin),,52.5427350,13.3660650,,,0,
9009105,,Seestr./Amrumer Str. (Berlin),,52.5462230,13.3440610,,,0,
9009151,,Gerichtstr. (Berlin),,52.5444820,13.3626700,,,0,
9009152,,Rathaus Wedding (Berlin),,52.5478500,13.3565820,,,0,
9009153,,Luxemburger Str. (Berlin),,52.5440570,13.3550650,,,0,
9009154,,Samoastr. (Berlin),,52.5416050,13.3541490,,,0,
9009155,,Kiautschoustr. (Berlin),,52.5410700,13.3576700,,,0,
9009156,,Antwerpener Str. (Berlin),,52.5486860,13.3487060,,,0,
9009201,,U Nauener Platz (Berlin),,52.5515270,13.3673700,,,0,
9009202,,U Osloer Str. (Berlin),,52.5569410,13.3732900,,,0,
9009203,,U Pankstr. (Berlin),,52.5522580,13.3818420,,,0,
9009204,,Osloer Str./Prinzenallee (Berlin),,52.5559390,13.3836680,,,0,
9009206,,Drontheimer Str. (Berlin),,52.5565320,13.3775530,,,0,
9009251,,Maxstr. (Berlin),,52.5494180,13.3640020,,,0,
9009252,,Exerzierstr. (Berlin),,52.5540210,13.3717090,,,0,
9009253,,Uferstr. (Berlin),,52.5532630,13.3781730,,,0,
9009254,,Ritterlandweg/Soldiner Str. (Berlin),,52.5603320,13.3769350,,,0,
9009272,,U Osloer Str. (Berlin) [Bus Tromsöer Str.],,52.5580200,13.3724970,,,0,
9010201,,Sylter Str. (Berlin),,52.5423310,13.3369400,,,0,
9010251,,Virchow-Klinikum (Berlin),,52.5434970,13.3387440,,,0,
9011101,,U Rehberge (Berlin),,52.5566730,13.3410180,,,0,
9011102,,U Afrikanische Str. (Berlin),,52.5608650,13.3335070,,,0,
9011103,,Otawistr. (Berlin),,52.5526850,13.3368860,,,0,
9011104,,Glasgower Str. (Berlin),,52.5549180,13.3459780,,,0,
9011105,,Londoner Str. (Berlin),,52.5633650,13.3429040,,,0,
9011151,,Türkenstr. (Berlin),,52.5535090,13.3465980,,,0,
9011152,,Bristolstr. (Berlin),,52.5585660,13.3516190,,,0,
9011153,,Septimerstr. (Berlin),,52.5642570,13.3387130,,,0,
9011154,,Nachtigalplatz (Berlin),,52.5569340,13.3346560,,,0,
9011155,,Transvaalstr. (Berlin),,52.5507750,13.3388920,,,0,
9011201,,Louise-Schroeder-Platz (Berlin),,52.5569850,13.3656080,,,0,
9011206,,Holländerstr./Aroser Allee (Berlin),,52.5620910,13.3537630,,,0,
9011207,,Brienzer Str. (Berlin),,52.5619520,13.3595840,,,0,
9011251,,Iranische Str. (Berlin),,52.5550670,13.3659620,,,0,
9011252,,Osram-Höfe (Berlin),,52.5536990,13.3582960,,,0,
9012101,,S Anhalter Bahnhof (Berlin),,52.5045420,13.3820820,,,0,
9012102,,U Kochstr./Checkpoint Charlie (Berlin),,52.5066770,13.3908690,,,0,
9012103,,U Hallesches Tor (Berlin),,52.4977780,13.3917660,,,0,
9012104,,Lindenstr./Oranienstr. (Berlin),,52.5069660,13.3983750,,,0,
9012105,,Abgeordnetenhaus (Berlin),,52.5065560,13.3796710,,,0,
9012106,,Mehringbrücke (Berlin),,52.4979780,13.3892690,,,0,
9012151,,Willy-Brandt-Haus (Berlin),,52.5004170,13.3874460,,,0,
9012152,,Blücherstr. (Berlin),,52.4957880,13.3966210,,,0,
9012153,,Wilhelmstr./Kochstr. (Berlin),,52.5058940,13.3863670,,,0,
9012154,,Charlottenstr. (Berlin),,52.5068880,13.3935410,,,0,
9012155,,Waldeckpark (Berlin),,52.5061790,13.4018400,,,0,
9012156,,Alexandrinenstr. (Berlin),,52.5051580,13.4053280,,,0,
9012157,,Jüdisches Museum (Berlin),,52.5035470,13.3956450,,,0,
9012158,,Franz-Klühs-Str. (Berlin),,52.5004200,13.3948090,,,0,
9012161,,Wilhelmstr./Franz-Klühs-Str. (Berlin),,52.5014190,13.3886110,,,0,
9013101,,U Moritzplatz (Berlin),,52.5037430,13.4109530,,,0,
9013102,,U Kottbusser Tor (Berlin),,52.4990510,13.4177530,,,0,
9013103,,U Prinzenstr. (Berlin),,52.4982770,13.4065370,,,0,
9013104,,Prinzenstr./Ritterstr. (Berlin),,52.5016510,13.4092810,,,0,
9013151,,Segitzdamm (Berlin),,52.5002420,13.4143460,,,0,
9013152,,Oranienplatz (Berlin),,52.5022480,13.4157360,,,0,
9013172,,U Kottbusser Tor (Berlin) [Bus Adalbertstr.],,52.4998970,13.4183840,,,0,
9013173,,U Kottbusser Tor (Berlin) [Bus Reichenbg. Str.],,52.4994490,13.4167650,,,0,
9013174,,U Kottbusser Tor (Berlin) [Bus Kottbusser Str.],,52.4983080,13.4190110,,,0,
9014101,,U Görlitzer Bahnhof (Berlin),,52.4990390,13.4284740,,,0,
9014102,,U Schlesisches Tor (Berlin),,52.5011510,13.4417960,,,0,
9014103,,Adalbertstr./Oranienstr. (Berlin),,52.5012880,13.4192980,,,0,
9014104,,Manteuffelstr./Köpenicker Str. (Berlin),,52.5056380,13.4320160,,,0,
9014105,,Waldemarstr./Manteuffelstr. (Berlin),,52.5011750,13.4279250,,,0,
9014106,,Lausitzer Platz (Berlin),,52.4994730,13.4319190,,,0,
9014107,,Bethaniendamm (Berlin),,52.5072180,13.4284440,,,0,
9014151,,Waldemarstr./Adalbertstr. (Berlin),,52.5028940,13.4218240,,,0,
9014152,,Mariannenplatz (Berlin),,52.5022060,13.4244230,,,0,
9014153,,Wrangelstr. (Berlin),,52.5034960,13.4300170,,,0,
9014154,,Eisenbahnstr. (Berlin),,52.5044790,13.4349390,,,0,
9014155,,Falckensteinstr. (Berlin),,52.5000550,13.4439550,,,0,
9014156,,Heinrichplatz (Berlin),,52.5002740,13.4229180,,,0,
9015101,,Heckmannufer (Berlin),,52.4970150,13.4493040,,,0,
9015103,,Glogauer Str. (Berlin),,52.4935400,13.4372770,,,0,
9015104,,Ohlauer Str. (Berlin),,52.4955720,13.4304820,,,0,
9015151,,Taborstr. (Berlin),,52.4982170,13.4472670,,,0,
9015152,,Spreewaldplatz (Berlin),,52.4976480,13.4312850,,,0,
9016101,,U Gneisenaustr. (Berlin),,52.4912550,13.3953880,,,0,
9016103,,Zossener Brücke (Berlin),,52.4984310,13.3958510,,,0,
9016151,,Marheinekeplatz (Berlin),,52.4893860,13.3938270,,,0,
9016152,,Jüterboger Str. (Berlin),,52.4862520,13.3944200,,,0,
9016153,,Gneisenaustr./Baerwaldstr. (Berlin),,52.4903890,13.4002190,,,0,
9016154,,Urbanstr./Baerwaldstr. (Berlin),,52.4939130,13.4031880,,,0,
9016157,,Tempelherrenstr. (Berlin),,52.4943390,13.4006390,,,0,
9016201,,U Schönleinstr. (Berlin),,52.4931820,13.4222470,,,0,
9016202,,U Südstern (Berlin),,52.4892220,13.4076910,,,0,
9016203,,Geibelstr. (Berlin),,52.4933670,13.4067920,,,0,
9016204,,Körtestr. (Berlin),,52.4920430,13.4123450,,,0,
9016250,,Hasenheide (Berlin),,52.4875590,13.4189740,,,0,
9016251,,Fichtestr. (Berlin),,52.4883410,13.4129920,,,0,
9016252,,Graefestr. (Berlin),,52.4909720,13.4161540,,,0,
9016254,,Wilmsstr. (Berlin),,52.4951940,13.4043470,,,0,
9016255,,Kottbusser Brücke (Berlin),,52.4955370,13.4207030,,,0,
9017100,,Obentrautstr./U Mehringdamm (Berlin),,52.4958200,13.3893480,,,0,
9017101,,U Mehringdamm (Berlin),,52.4935780,13.3881580,,,0,
9017102,,U Platz der Luftbrücke (Berlin),,52.4849810,13.3863560,,,0,
9017103,,U Gleisdreieck (Berlin),,52.4995910,13.3742990,,,0,
9017104,,U Möckernbrücke (Berlin),,52.4989470,13.3832620,,,0,
9017105,,Yorckstr./Großbeerenstr. (Berlin),,52.4936380,13.3838310,,,0,
9017106,,Platz der Luftbrücke (Berlin),,52.4834450,13.3870440,,,0,
9017107,,Kaiserkorso (Berlin),,52.4840970,13.3842970,,,0,
9017109,,Katzbachstr./Kreuzbergstr. (Berlin),,52.4893130,13.3770700,,,0,
9017151,,Bergmannstr. (Berlin),,52.4900740,13.3865170,,,0,
9017152,,Kreuzberg/Wasserfall (Berlin),,52.4901770,13.3823380,,,0,
9017171,,U Mehringdamm (Berlin),,52.4927760,13.3883980,,,0,
9017181,,Columbiadamm/Platz der Luftbrücke (Berlin),,52.4843620,13.3900170,,,0,
9018101,,U Jakob-Kaiser-Platz (Berlin),,52.5369880,13.2936670,,,0,
9018102,,U Halemweg (Berlin),,52.5367060,13.2865840,,,0,
9018103,,Weltlingerbrücke (Berlin),,52.5395790,13.2950700,,,0,
9018105,,Hinckeldeybrücke (Berlin),,52.5466240,13.2992280,,,0,
9018106,,Goerdelerdamm (Berlin),,52.5349530,13.2981760,,,0,
9018151,,Habermannzeile (Berlin),,52.5396750,13.2912840,,,0,
9018152,,Hofackerzeile (Berlin),,52.5371090,13.2908700,,,0,
9018153,,Dahrendorfzeile (Berlin),,52.5351510,13.2890440,,,0,
9019102,,Gloedenpfad (Berlin),,52.5394120,13.3021400,,,0,
9019103,,Seestr./Beusselstr. (Berlin),,52.5382530,13.3263510,,,0,
9019105,,Buchholzweg (Berlin),,52.5469760,13.3177990,,,0,
9019152,,Gedenkstätte Plötzensee (Berlin),,52.5421040,13.3243890,,,0,
9019153,,Friedrich-Olbricht-Damm/Saatwinkler Damm (Berlin),,52.5475560,13.3125820,,,0,
9019154,,Stieffring (Berlin),,52.5450820,13.3127300,,,0,
9019155,,Thaters Privatweg (Berlin),,52.5394500,13.3101150,,,0,
9019156,,Kolonie Zukunft (Berlin),,52.5394670,13.3052370,,,0,
9019158,,Berliner Großmarkt (Berlin),,52.5366550,13.3270100,,,0,
9019202,,Reichweindamm (Berlin),,52.5356560,13.3004070,,,0,
9019203,,Friedrich-Olbricht-Damm/Heckerdamm (Berlin),,52.5412200,13.3149730,,,0,
9019204,,U Mierendorffplatz (Berlin),,52.5259810,13.3057210,,,0,
9019205,,Quedlinburger Str. (Berlin),,52.5229240,13.3059250,,,0,
9019252,,Wirmerzeile (Berlin),,52.5369070,13.3027140,,,0,
9019253,,Keplerstr. (Berlin),,52.5281480,13.3048710,,,0,
9020101,,Friedhöfe Fürstenbrunner Weg (Berlin),,52.5244730,13.2793010,,,0,
9020102,,Rohrdammbrücke (Berlin),,52.5285020,13.2697960,,,0,
9020103,,Kirschenallee (Berlin),,52.5203880,13.2672340,,,0,
9020105,,Machandelweg (Berlin),,52.5248290,13.2450680,,,0,
9020151,,Fürstenbrunner Weg (Berlin),,52.5209610,13.2799360,,,0,
9020152,,Kastanienallee (Berlin),,52.5195160,13.2722330,,,0,
9020153,,DRK-Kliniken Westend (Berlin),,52.5187160,13.2764380,,,0,
9020201,,S+U Jungfernheide Bhf (Berlin),,52.5302790,13.2990690,,,0,
9020202,,S Beusselstr. (Berlin),,52.5343170,13.3287080,,,0,
